Store,Date,Category,Value
1,2010-02-05,Historical,1643690.9
1,2010-02-12,Historical,1641957.44
1,2010-02-19,Historical,1611968.17
1,2010-02-26,Historical,1409727.59
1,2010-03-05,Historical,1554806.68
1,2010-03-12,Historical,1439541.59
1,2010-03-19,Historical,1472515.79
1,2010-03-26,Historical,1404429.92
1,2010-04-02,Historical,1594968.28
1,2010-04-09,Historical,1545418.53
1,2010-04-16,Historical,1466058.28
1,2010-04-23,Historical,1391256.12
1,2010-04-30,Historical,1425100.71
1,2010-05-07,Historical,1603955.1199999999
1,2010-05-14,Historical,1494251.5
1,2010-05-21,Historical,1399662.07
1,2010-05-28,Historical,1432069.95
1,2010-06-04,Historical,1615524.71
1,2010-06-11,Historical,1542561.09
1,2010-06-18,Historical,1503284.06
1,2010-06-25,Historical,1422711.6
1,2010-07-02,Historical,1492418.1400000001
1,2010-07-09,Historical,1546074.18
1,2010-07-16,Historical,1448938.92
1,2010-07-23,Historical,1385065.2
1,2010-07-30,Historical,1371986.6
1,2010-08-06,Historical,1605491.78
1,2010-08-13,Historical,1508237.76
1,2010-08-20,Historical,1513080.49
1,2010-08-27,Historical,1449142.92
1,2010-09-03,Historical,1540163.53
1,2010-09-10,Historical,1507460.69
1,2010-09-17,Historical,1430378.67
1,2010-09-24,Historical,1351791.03
1,2010-10-01,Historical,1453329.5
1,2010-10-08,Historical,1508239.93
1,2010-10-15,Historical,1459409.1
1,2010-10-22,Historical,1345454.0
1,2010-10-29,Historical,1384209.22
1,2010-11-05,Historical,1551659.28
1,2010-11-12,Historical,1494479.49
1,2010-11-19,Historical,1483784.18
1,2010-11-26,Historical,1955624.11
1,2010-12-03,Historical,1548033.78
1,2010-12-10,Historical,1682614.26
1,2010-12-17,Historical,1891034.93
1,2010-12-24,Historical,2387950.2
1,2010-12-31,Historical,1367320.01
1,2011-01-07,Historical,1444732.28
1,2011-01-14,Historical,1391013.96
1,2011-01-21,Historical,1327405.42
1,2011-01-28,Historical,1316899.31
1,2011-02-04,Historical,1606629.58
1,2011-02-11,Historical,1649614.93
1,2011-02-18,Historical,1686842.78
1,2011-02-25,Historical,1456800.28
1,2011-03-04,Historical,1636263.41
1,2011-03-11,Historical,1553191.63
1,2011-03-18,Historical,1576818.06
1,2011-03-25,Historical,1541102.3800000001
1,2011-04-01,Historical,1495064.75
1,2011-04-08,Historical,1614259.35
1,2011-04-15,Historical,1559889.0
1,2011-04-22,Historical,1564819.81
1,2011-04-29,Historical,1455090.69
1,2011-05-06,Historical,1629391.28
1,2011-05-13,Historical,1604775.58
1,2011-05-20,Historical,1428218.27
1,2011-05-27,Historical,1466046.67
1,2011-06-03,Historical,1635078.41
1,2011-06-10,Historical,1588948.32
1,2011-06-17,Historical,1532114.86
1,2011-06-24,Historical,1438830.15
1,2011-07-01,Historical,1488538.09
1,2011-07-08,Historical,1534849.64
1,2011-07-15,Historical,1455119.97
1,2011-07-22,Historical,1396926.82
1,2011-07-29,Historical,1352219.79
1,2011-08-05,Historical,1624383.75
1,2011-08-12,Historical,1525147.09
1,2011-08-19,Historical,1530761.43
1,2011-08-26,Historical,1464693.46
1,2011-09-02,Historical,1550229.22
1,2011-09-09,Historical,1540471.24
1,2011-09-16,Historical,1514259.78
1,2011-09-23,Historical,1380020.27
1,2011-09-30,Historical,1394561.83
1,2011-10-07,Historical,1630989.95
1,2011-10-14,Historical,1493525.93
1,2011-10-21,Historical,1502562.78
1,2011-10-28,Historical,1445249.09
1,2011-11-04,Historical,1697229.58
1,2011-11-11,Historical,1594938.8900000001
1,2011-11-18,Historical,1539483.7
1,2011-11-25,Historical,2033320.66
1,2011-12-02,Historical,1584083.95
1,2011-12-09,Historical,1799682.38
1,2011-12-16,Historical,1881176.67
1,2011-12-23,Historical,2270188.99
1,2011-12-30,Historical,1497462.72
1,2012-01-06,Historical,1550369.92
1,2012-01-13,Historical,1459601.17
1,2012-01-20,Historical,1394393.84
1,2012-01-27,Historical,1319325.59
1,2012-02-03,Historical,1636339.65
1,2012-02-10,Historical,1802477.43
1,2012-02-17,Historical,1819870.0
1,2012-02-24,Historical,1539387.83
1,2012-03-02,Historical,1688420.76
1,2012-03-09,Historical,1675431.16
1,2012-03-16,Historical,1677472.78
1,2012-03-23,Historical,1511068.07
1,2012-03-30,Historical,1649604.63
1,2012-04-06,Historical,1899676.8800000001
1,2012-04-13,Historical,1621031.7
1,2012-04-20,Historical,1521577.8699999999
1,2012-04-27,Historical,1468928.3699999999
1,2012-05-04,Historical,1684519.99
1,2012-05-11,Historical,1611096.05
1,2012-05-18,Historical,1595901.87
1,2012-05-25,Historical,1555444.55
1,2012-06-01,Historical,1624477.58
1,2012-06-08,Historical,1697230.96
2,2010-02-05,Historical,2136989.46
2,2010-02-12,Historical,2137809.5
2,2010-02-19,Historical,2124451.54
2,2010-02-26,Historical,1865097.27
2,2010-03-05,Historical,1991013.13
2,2010-03-12,Historical,1990483.78
2,2010-03-19,Historical,1946070.8800000001
2,2010-03-26,Historical,1750197.81
2,2010-04-02,Historical,2066187.72
2,2010-04-09,Historical,1954689.21
2,2010-04-16,Historical,1874957.94
2,2010-04-23,Historical,1821990.93
2,2010-04-30,Historical,1802450.29
2,2010-05-07,Historical,2042581.71
2,2010-05-14,Historical,1880752.36
2,2010-05-21,Historical,1896937.1
2,2010-05-28,Historical,1957113.89
2,2010-06-04,Historical,2102539.93
2,2010-06-11,Historical,2025538.76
2,2010-06-18,Historical,2001636.96
2,2010-06-25,Historical,1939927.09
2,2010-07-02,Historical,2003940.64
2,2010-07-09,Historical,1880902.6199999999
2,2010-07-16,Historical,1845879.79
2,2010-07-23,Historical,1781717.71
2,2010-07-30,Historical,1804246.16
2,2010-08-06,Historical,1991909.98
2,2010-08-13,Historical,1895601.05
2,2010-08-20,Historical,1964335.23
2,2010-08-27,Historical,1863840.49
2,2010-09-03,Historical,1904608.09
2,2010-09-10,Historical,1839128.83
2,2010-09-17,Historical,1793903.5999999999
2,2010-09-24,Historical,1724557.22
2,2010-10-01,Historical,1827440.43
2,2010-10-08,Historical,1849921.44
2,2010-10-15,Historical,1794355.49
2,2010-10-22,Historical,1737947.64
2,2010-10-29,Historical,1802755.11
2,2010-11-05,Historical,1939061.41
2,2010-11-12,Historical,1916812.74
2,2010-11-19,Historical,1956739.17
2,2010-11-26,Historical,2658725.29
2,2010-12-03,Historical,2015781.27
2,2010-12-10,Historical,2378726.55
2,2010-12-17,Historical,2609166.75
2,2010-12-24,Historical,3436007.68
2,2010-12-31,Historical,1750434.55
2,2011-01-07,Historical,1758050.79
2,2011-01-14,Historical,1744193.58
2,2011-01-21,Historical,1751384.9
2,2011-01-28,Historical,1695371.68
2,2011-02-04,Historical,1929346.23
2,2011-02-11,Historical,2168041.61
2,2011-02-18,Historical,2080884.82
2,2011-02-25,Historical,1833511.08
2,2011-03-04,Historical,1981607.78
2,2011-03-11,Historical,1879107.31
2,2011-03-18,Historical,1902557.66
2,2011-03-25,Historical,1766162.05
2,2011-04-01,Historical,1800171.3599999999
2,2011-04-08,Historical,1847552.61
2,2011-04-15,Historical,1856467.84
2,2011-04-22,Historical,1886339.6
2,2011-04-29,Historical,1745545.28
2,2011-05-06,Historical,1837743.6
2,2011-05-13,Historical,1838513.07
2,2011-05-20,Historical,1688281.8599999999
2,2011-05-27,Historical,1797732.56
2,2011-06-03,Historical,1933756.21
2,2011-06-10,Historical,1929153.1600000001
2,2011-06-17,Historical,1953771.99
2,2011-06-24,Historical,1790925.8
2,2011-07-01,Historical,1866243.0
2,2011-07-08,Historical,1853161.99
2,2011-07-15,Historical,1785187.29
2,2011-07-22,Historical,1743816.41
2,2011-07-29,Historical,1680693.06
2,2011-08-05,Historical,1876704.26
2,2011-08-12,Historical,1812768.26
2,2011-08-19,Historical,1844094.59
2,2011-08-26,Historical,1821139.91
2,2011-09-02,Historical,1809119.7
2,2011-09-09,Historical,1748000.65
2,2011-09-16,Historical,1691439.52
2,2011-09-23,Historical,1669299.78
2,2011-09-30,Historical,1650394.44
2,2011-10-07,Historical,1837553.43
2,2011-10-14,Historical,1743882.19
2,2011-10-21,Historical,1834680.25
2,2011-10-28,Historical,1769296.25
2,2011-11-04,Historical,1959707.9
2,2011-11-11,Historical,1920725.15
2,2011-11-18,Historical,1902762.5
2,2011-11-25,Historical,2614202.3
2,2011-12-02,Historical,1954952.0
2,2011-12-09,Historical,2290549.32
2,2011-12-16,Historical,2432736.52
2,2011-12-23,Historical,3224369.8
2,2011-12-30,Historical,1874226.52
2,2012-01-06,Historical,1799520.1400000001
2,2012-01-13,Historical,1744725.48
2,2012-01-20,Historical,1711769.11
2,2012-01-27,Historical,1660906.1400000001
2,2012-02-03,Historical,1935299.94
2,2012-02-10,Historical,2103322.68
2,2012-02-17,Historical,2196688.46
2,2012-02-24,Historical,1861802.7
2,2012-03-02,Historical,1952555.66
2,2012-03-09,Historical,1937628.26
2,2012-03-16,Historical,1976082.13
2,2012-03-23,Historical,1790439.16
2,2012-03-30,Historical,1857480.84
2,2012-04-06,Historical,2129035.91
2,2012-04-13,Historical,1935869.1
2,2012-04-20,Historical,1847344.45
2,2012-04-27,Historical,1764133.09
2,2012-05-04,Historical,1923957.0899999999
2,2012-05-11,Historical,1917520.99
2,2012-05-18,Historical,2000940.67
2,2012-05-25,Historical,1912791.09
2,2012-06-01,Historical,1910092.3699999999
2,2012-06-08,Historical,2010216.49
3,2010-02-05,Historical,461622.22
3,2010-02-12,Historical,420728.96
3,2010-02-19,Historical,421642.19
3,2010-02-26,Historical,407204.86
3,2010-03-05,Historical,415202.04000000004
3,2010-03-12,Historical,384200.69
3,2010-03-19,Historical,375328.58999999997
3,2010-03-26,Historical,359949.27
3,2010-04-02,Historical,423294.4
3,2010-04-09,Historical,415870.28
3,2010-04-16,Historical,354993.26
3,2010-04-23,Historical,339976.65
3,2010-04-30,Historical,361248.39
3,2010-05-07,Historical,399323.86
3,2010-05-14,Historical,384357.94
3,2010-05-21,Historical,343763.17
3,2010-05-28,Historical,350089.23
3,2010-06-04,Historical,396968.8
3,2010-06-11,Historical,355017.09
3,2010-06-18,Historical,364076.85
3,2010-06-25,Historical,357346.48
3,2010-07-02,Historical,381151.72000000003
3,2010-07-09,Historical,349214.18
3,2010-07-16,Historical,352728.78
3,2010-07-23,Historical,352864.49
3,2010-07-30,Historical,347955.05
3,2010-08-06,Historical,402635.76
3,2010-08-13,Historical,339597.38
3,2010-08-20,Historical,351728.21
3,2010-08-27,Historical,362134.08999999997
3,2010-09-03,Historical,366473.97000000003
3,2010-09-10,Historical,352260.97
3,2010-09-17,Historical,363064.64
3,2010-09-24,Historical,355626.87
3,2010-10-01,Historical,358784.1
